Local government area,LGA_CODE22,State,Households - at 2021,Current unmet need - Estimate,Current unmet need - % all households,Source of unmet need - Q1  rent stress,Source of unmet need - Q2  rent stress,Source of unmet need - Manifest (homeless),Current social housing - at 2021,Current social housing - % all need (met+unmet),Projected need by 2041 - Estimate,Projected need by 2041 - As annual SH growth,Projected need by 2041 - As average annual build
Meander Valley,64210,Tas,8500,500,0.057,0.591,0.357,0.052,200,0.329,500,0.058,<100
Northern Midlands,64610,Tas,5700,300,0.06,0.617,0.268,0.115,200,0.366,300,0.052,<100
Sorell,64810,Tas,6800,600,0.083,0.517,0.277,0.207,100,0.15,700,0.109,<100
Southern Midlands,65010,Tas,2600,100,0.033,0.839,0.131,0.03,negligible,-,100,-,<100
Tasman,65210,Tas,1200,100,0.078,0.514,0.479,0.007,negligible,-,100,-,<100
Waratah-Wynyard,65410,Tas,6100,400,0.06,0.595,0.349,0.056,400,0.543,400,0.031,<100
West Coast,65610,Tas,2000,200,0.094,0.495,0.214,0.291,negligible,-,200,-,<100
West Tamar,65810,Tas,10100,500,0.049,0.669,0.32,0.011,200,0.246,500,0.073,<100
Alice Springs,70200,NT,9300,300,0.037,0.549,0.448,0.003,1000,0.739,500,0.02,<100
Barkly,70420,NT,1700,1100,0.674,0,0,1,700,0.373,1300,0.056,<100
Belyuen,70540,NT,0,-,-,-,-,-,-,-,-,-,-
Central Desert,70620,NT,800,1000,1.327,0,0,1,500,0.336,1200,0.061,<100
Coomalie,70700,NT,500,<100,0.045,0,0.698,0.302,100,0.728,<100,0.021,<100
Darwin,71000,NT,30100,1200,0.041,0.547,0.433,0.02,2100,0.625,2600,0.041,100-200
Darwin Waterfront Precinct,71150,NT,200,-,-,-,-,-,-,-,-,-,-
East Arnhem,71300,NT,1500,100,0.079,0,0,1,1100,0.902,200,0.01,<100
Katherine,72200,NT,3200,100,0.019,0.185,0.384,0.431,400,0.878,100,0.011,<100
Litchfield,72300,NT,6800,800,0.121,0.115,0.099,0.786,negligible,-,1200,-,<100
MacDonnell,72330,NT,1200,1000,0.812,0,0,1,700,0.427,1100,0.049,<100
Palmerston,72800,NT,13300,700,0.053,0.618,0.361,0.022,1000,0.586,1400,0.045,<100
Roper Gulf,73600,NT,1300,700,0.517,0,0,1,800,0.546,800,0.036,<100
Tiwi Islands,74050,NT,600,<100,0.041,0,0,1,500,0.949,100,0.008,<100
Victoria Daly,74550,NT,600,500,0.847,0,0,1,300,0.386,600,0.054,<100
Wagait,74560,NT,200,-,-,-,-,-,-,-,-,-,-
West Arnhem,74660,NT,1300,200,0.14,0,0,1,700,0.801,300,0.016,<100
West Daly,74680,NT,500,100,0.097,0,0,1,400,0.88,100,0.011,<100
Unincorporated NT,79399,NT,2500,100,0.036,0,0.015,0.985,100,0.545,100,0.036,<100
Unincorporated ACT,89399,ACT,173300,5400,0.031,0.443,0.439,0.119,10000,0.648,10800,0.038,500-600
