Local government area,LGA_CODE22,State,Households - at 2021,Current unmet need - Estimate,Current unmet need - % all households,Source of unmet need - Q1  rent stress,Source of unmet need - Q2  rent stress,Source of unmet need - Manifest (homeless),Current social housing - at 2021,Current social housing - % all need (met+unmet),Projected need by 2041 - Estimate,Projected need by 2041 - As annual SH growth,Projected need by 2041 - As average annual build
Kangaroo Island,42750,SA,2100,100,0.057,0.44,0.411,0.149,100,0.4,100,0.049,<100
Karoonda East Murray,43080,SA,400,-,-,-,-,-,-,-,-,-,-
Kimba,43220,SA,400,-,-,-,-,-,-,-,-,-,-
Kingston (SA),43360,SA,1000,100,0.055,0.29,0.476,0.234,negligible,-,100,-,<100
Light,43650,SA,5600,300,0.053,0.475,0.183,0.342,negligible,-,300,-,<100
Lower Eyre Peninsula,43710,SA,2200,100,0.031,0.846,0.132,0.022,negligible,-,100,-,<100
Loxton Waikerie,43790,SA,4900,300,0.055,0.559,0.328,0.113,200,0.424,300,0.046,<100
Maralinga Tjarutja,44000,SA,0,-,-,-,-,-,-,-,-,-,-
Marion,44060,SA,38900,1600,0.041,0.67,0.309,0.021,3400,0.676,2500,0.028,100-200
Mid Murray,44210,SA,4100,300,0.066,0.58,0.327,0.093,100,0.24,300,0.076,<100
Mitcham,44340,SA,25400,900,0.034,0.577,0.372,0.052,400,0.318,1100,0.068,<100
Mount Barker,44550,SA,14900,800,0.056,0.535,0.26,0.205,400,0.347,1100,0.063,<100
Mount Gambier,44620,SA,11400,600,0.057,0.681,0.319,0,900,0.588,700,0.029,<100
Mount Remarkable,44830,SA,1200,<100,0.018,0.245,0.369,0.385,negligible,-,<100,-,<100
Murray Bridge,45040,SA,8800,700,0.083,0.713,0.277,0.01,600,0.449,800,0.043,<100
Naracoorte Lucindale,45090,SA,3500,100,0.041,0.62,0.253,0.127,100,0.458,200,0.042,<100
Northern Areas,45120,SA,2000,100,0.033,0.564,0.323,0.113,100,0.452,100,0.043,<100
Norwood Payneham and St Peters,45290,SA,16400,900,0.055,0.589,0.406,0.005,800,0.468,1200,0.047,<100
Onkaparinga,45340,SA,70000,4300,0.061,0.702,0.226,0.072,3200,0.43,5600,0.052,200-300
Orroroo Carrieton,45400,SA,400,-,-,-,-,-,-,-,-,-,-
Peterborough,45540,SA,800,100,0.088,0.68,0.215,0.104,negligible,-,100,-,<100
Playford,45680,SA,36900,3500,0.096,0.777,0.156,0.067,3300,0.483,4800,0.046,200-300
Port Adelaide Enfield,45890,SA,52500,3000,0.057,0.668,0.277,0.055,5700,0.653,4600,0.03,200-300
Port Augusta,46090,SA,5500,300,0.054,0.726,0.272,0.001,700,0.708,300,0.02,<100
Port Lincoln,46300,SA,6000,300,0.058,0.658,0.342,0,600,0.614,400,0.027,<100
Port Pirie,46450,SA,7400,500,0.062,0.708,0.283,0.009,700,0.595,500,0.029,<100
Prospect,46510,SA,8800,400,0.044,0.622,0.372,0.006,300,0.473,500,0.047,<100
Renmark Paringa,46670,SA,4000,200,0.056,0.74,0.243,0.016,200,0.472,200,0.04,<100
Robe,46860,SA,700,<100,0.036,0.078,0.743,0.179,negligible,-,<100,-,<100
